Order_id,old_taxonID_linked_genome_sequence,new_taxonID_in_Fig.1,No. Complete and single-copy,No. Complete and duplicated,No. Fragmented,Missing,No. Complete and single-copy(pct),CUG_usage,#Organism Name linked to NCBI record,Strain linked to NCBI record,species linked to NCBI record,genus linked to NCBI record,family/clade linked to NCBI record,order linked to NCBI record,class linked to NCBI record,subphyum linked to NCBI record,phyum linked to NCBI record,Current species name in Mycobank,genus in Mycobank, family in Mycobank,order in Mycobank,class in Mycobank,subphylum in Mycobank,phylum in Mycobank,Assembly,Link
993,Phaffomyces_thermotolerans,Phaffomyces_thermotolerans,281,0,1,8,96.89655172,Leu,Phaffomyces thermotolerans,NRRL Y-11709,Phaffomyces thermotolerans,Phaffomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Phaffomyces thermotolerans,Phaffomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPNJ00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854926
994,Pichia_exigua,Pichia_exigua,272,1,1,16,93.79310345,Leu,Pichia exigua,NRRL Y-10920,Pichia exigua,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia exigua,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIS00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854927
995,Pichia_heedii,Pichia_heedii,266,1,2,21,91.72413793,Leu,Pichia heedii,NRRL Y-10967,Pichia heedii,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia heedii,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIR00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854928
996,Pichia_kudriavzevii,Pichia_kudriavzevii,262,7,2,19,90.34482759,Leu,Pichia kudriavzevii,NRRL Y-5396,Pichia kudriavzevii,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia kudriavzevii,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIQ00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854929
997,Pichia_membranifaciens,Pichia_membranifaciens,280,0,1,9,96.55172414,Leu,Pichia membranifaciens,CBS 107,Pichia membranifaciens,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia membranifaciens,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,JGI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854930
998,Pichia_nakasei,Pichia_nakasei,255,1,6,28,87.93103448,Leu,Pichia nakasei,NRRL Y-7686,Pichia nakasei,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia nakasei,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIP00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854931
999,Pichia_norvegensis,Pichia_norvegensis,257,6,4,23,88.62068966,Leu,Pichia norvegensis,NRRL Y-7687,Pichia norvegensis,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia norvegensis,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIO00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854932
1000,Pichia_occidentalis,Pichia_occidentalis,281,0,1,8,96.89655172,Leu,Pichia occidentalis,NRRL Y-7552,Pichia occidentalis,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia occidentalis,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIN00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854933
1001,Pichia_terricola,Pichia_terricola,273,0,0,17,94.13793103,Leu,Pichia terricola,NRRL YB-4310,Pichia terricola,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Pichia terricola,Pichia,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPMO00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854934
1002,Priceomyces_carsonii,Priceomyces_carsonii,285,0,1,4,98.27586207,Ser,Priceomyces carsonii,NRRL YB-4275,Priceomyces carsonii,Priceomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Priceomyces carsonii,Priceomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPMM00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854935
1003,Priceomyces_castillae,Priceomyces_castillae,285,0,0,5,98.27586207,Ser,Priceomyces castillae,NRRL Y-7501,Priceomyces castillae,Priceomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Priceomyces castillae,Priceomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPMN00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854936
1004,Priceomyces_haplophilus,Priceomyces_haplophilus,283,0,0,7,97.5862069,Ser,Priceomyces haplophilus,JCM 1635,Priceomyces haplophilus,Priceomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Priceomyces haplophilus,Priceomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,GCA_001599895.1,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854937
1005,Priceomyces_medius,Priceomyces_medius,284,0,0,6,97.93103448,Ser,Priceomyces medius,NRRL Y-7122,Priceomyces medius,Priceomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Priceomyces medius,Priceomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIF00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854938
1006,Saccharomyces_arboricola,Saccharomyces_arboricola,268,16,0,6,92.4137931,Leu,Saccharomyces arboricola,CBS 10644,Saccharomyces arboricola,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces arboricola,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854939
1007,Saccharomyces_cerevisiae,Saccharomyces_cerevisiae,267,20,0,3,92.06896552,Leu,Saccharomyces cerevisiae,S288C,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces cerevisiae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,SGD,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854940
1008,Saccharomyces_eubayanus,Saccharomyces_eubayanus,266,20,0,4,91.72413793,Leu,Saccharomyces eubayanus,FM1318,Saccharomyces eubayanus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces eubayanus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854941
1009,Saccharomyces_kudriavzevii,Saccharomyces_kudriavzevii,268,19,0,3,92.4137931,Leu,Saccharomyces kudriavzevii,IFO 1802 MAT? ho?::natMX,Saccharomyces kudriavzevii,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces kudriavzevii,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,SSS,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854942
1010,Saccharomyces_mikatae,Saccharomyces_mikatae,267,19,0,4,92.06896552,Leu,Saccharomyces mikatae,IFO 1815,Saccharomyces mikatae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces mikatae,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,SSS,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854943
1011,Saccharomyces_paradoxus,Saccharomyces_paradoxus,263,20,0,7,90.68965517,Leu,Saccharomyces paradoxus,CBS 432,Saccharomyces paradoxus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces paradoxus,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,SSS,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854944
1012,Saccharomyces_uvarum,Saccharomyces_uvarum,266,19,1,4,91.72413793,Leu,Saccharomyces uvarum,JRY9189,Saccharomyces uvarum,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomyces uvarum,Saccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,SSS,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854945
1013,Saccharomycopsis_capsularis,Saccharomycopsis_capsularis,280,5,1,4,96.55172414,Ser,Saccharomycopsis capsularis,NRRL Y-17639,Saccharomycopsis capsularis,Saccharomycopsis,CUG-Ser2,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomycopsis capsularis,Saccharomycopsis,Saccharomycopsidaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIG00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854946
1014,Saccharomycopsis_malanga,Saccharomycopsis_malanga,281,0,3,6,96.89655172,Ser,Saccharomycopsis malanga,JCM 7620,Saccharomycopsis malanga,Saccharomycopsis,CUG-Ser2,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saccharomycopsis malanga,Saccharomycopsis,Saccharomycopsidaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,GCA_001599215.1,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854947
1015,Saprochaete_clavata,Magnusiomyces_clavatus,270,0,2,18,93.10344828,Leu,Saprochaete clavata,CNRMA 12.647,Saprochaete clavata,Saprochaete,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Magnusiomyces clavatus,Magnusiomyces,Dipodascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854948
1016,Saturnispora_dispora,Saturnispora_dispora,268,0,5,17,92.4137931,Leu,Saturnispora dispora,NRRL Y-1447,Saturnispora dispora,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora dispora,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPND00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854949
1017,Saturnispora_hagleri,Saturnispora_hagleri,265,0,7,18,91.37931034,Leu,Saturnispora hagleri,NRRL Y-27828,Saturnispora hagleri,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora hagleri,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIH00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854950
1018,Saturnispora_mendoncae,Saturnispora_mendoncae,260,0,4,26,89.65517241,Leu,Saturnispora mendoncae,NRRL Y-11515,Saturnispora mendoncae,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora mendoncae,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPII00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854951
1019,Saturnispora_saitoi,Saturnispora_saitoi,264,0,5,21,91.03448276,Leu,Saturnispora saitoi,NRRL Y-6671,Saturnispora saitoi,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora saitoi,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIJ00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854952
1020,Saturnispora_serradocipensis,Saturnispora_serradocipensis,260,0,5,25,89.65517241,Leu,Saturnispora serradocipensis,NRRL Y-48717,Saturnispora serradocipensis,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora serradocipensis,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIK00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854953
1021,Saturnispora_silvae,Saturnispora_silvae,268,1,4,17,92.4137931,Leu,Saturnispora silvae,NRRL Y-6725,Saturnispora silvae,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora silvae,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIL00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854954
1022,Saturnispora_zaruensis,Saturnispora_zaruensis,268,0,4,18,92.4137931,Leu,Saturnispora zaruensis,NRRL Y-7008,Saturnispora zaruensis,Saturnispora,Pichiaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Saturnispora zaruensis,Saturnispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIM00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854955
1023,Scheffersomyces_lignosus,Scheffersomyces_lignosus,284,1,0,5,97.93103448,Ser,Scheffersomyces lignosus,JCM 9837,Scheffersomyces lignosus,Scheffersomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Scheffersomyces lignosus,Scheffersomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,GCA_001599395.1,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854956
1024,Scheffersomyces_stipitis,Scheffersomyces_stipitis,288,0,0,2,99.31034483,Ser,Scheffersomyces stipitis,CBS 6054,Scheffersomyces stipitis,Scheffersomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Scheffersomyces stipitis,Scheffersomyces,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,JGI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854957
1025,Spathaspora_arborariae,Spathaspora_arborariae,281,0,1,8,96.89655172,Ser,Spathaspora arborariae,UFMG-HM19.1A,Spathaspora arborariae,Spathaspora,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spathaspora arborariae,Spathaspora,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854958
1026,Spathaspora_girioi,Spathaspora_girioi,285,1,0,4,98.27586207,Ser,Spathaspora girioi,UFMG-CM-Y302,Spathaspora girioi,Spathaspora,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spathaspora girioi,Spathaspora,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854959
1027,Spathaspora_gorwiae,Spathaspora_gorwiae,264,6,11,9,91.03448276,Ser,Spathaspora gorwiae,UFMG-CM-Y312,Spathaspora gorwiae,Spathaspora,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spathaspora gorwiae,Spathaspora,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854960
1028,Spathaspora_hagerdaliae,Spathaspora_hagerdaliae,282,0,4,4,97.24137931,Ser,Spathaspora hagerdaliae,UFMG-CM-Y303,Spathaspora hagerdaliae,Spathaspora,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spathaspora hagerdaliae,Spathaspora,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854961
1029,Spathaspora_passalidarum,Spathaspora_passalidarum,287,0,0,3,98.96551724,Ser,Spathaspora passalidarum,NRRL Y-27907,Spathaspora passalidarum,Spathaspora,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spathaspora passalidarum,Spathaspora,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,JGI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854962
1030,Spencermartinsiella_europaea,Spencermartinsiella_europaea,283,2,0,5,97.5862069,Leu,Spencermartinsiella europaea,NRRL Y-48265,Spencermartinsiella europaea,Spencermartinsiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Spencermartinsiella europaea,Spencermartinsiella,Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIE00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854963
1031,Sporopachydermia_lactativora,Sporopachydermia_lactativora,277,5,1,7,95.51724138,Leu,Sporopachydermia lactativora,NRRL Y-11591,Sporopachydermia lactativora,Sporopachydermia,Sporopachydermia clade,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Sporopachydermia lactativora,Sporopachydermia,Sporopachydermia clade,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPID00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854964
1032,Sporopachydermia_quercuum,Sporopachydermia_quercuum,276,3,3,8,95.17241379,Leu,Sporopachydermia quercuum,JCM 9486,Sporopachydermia quercuum,Sporopachydermia,Sporopachydermia clade,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Sporopachydermia quercuum,Sporopachydermia,Sporopachydermia clade,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,GCA_001599295.1,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854965
1033,Starmera_amethionina,Starmera_amethionina,276,2,1,11,95.17241379,Leu,Starmera amethionina,NRRL Y-10978,Starmera amethionina,Starmera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Starmera amethionina,Starmera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPNC00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854966
1034,Starmera_quercuum,Starmera_quercuum,283,1,0,6,97.5862069,Leu,Starmera quercuum,NRRL YB-4281,Starmera quercuum,Starmera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Starmera quercuum,Starmera,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPIB00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854967
1035,Starmerella_apicola,Starmerella_apicola,264,2,2,22,91.03448276,Leu,Starmerella apicola,NRRL Y-50540,Starmerella apicola,Candida,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Starmerella apicola,Candida,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854968
1036,Starmerella_bombicola,Starmerella_bombicola,271,1,3,15,93.44827586,Leu,Starmerella bombicola,JCM 9596,Starmerella bombicola,Starmerella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Starmerella bombicola,Starmerella,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,GCA_001599315.1,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854969
1037,Sugiyamaella_lignohabitans,Sugiyamaella_lignohabitans,283,1,1,5,97.5862069,Leu,Sugiyamaella lignohabitans,CBS 10342,Sugiyamaella lignohabitans,Sugiyamaella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Sugiyamaella lignohabitans,Sugiyamaella,Trichomonascaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854970
1038,Suhomyces_canberraensis,Suhomyces_canberraensis,285,0,0,5,98.27586207,Ser,Suhomyces canberraensis,NRRL YB-2417,Suhomyces canberraensis,Suhomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Suhomyces canberraensis,Suhomyces,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPLP00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854971
1039,Suhomyces_emberorum,Suhomyces_emberorum,283,0,0,7,97.5862069,Ser,Suhomyces emberorum,NRRL Y-27606,Suhomyces emberorum,Suhomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Suhomyces emberorum,Suhomyces,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPLQ00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854972
1040,Suhomyces_pyralidae,Suhomyces_pyralidae,287,0,0,3,98.96551724,Ser,Suhomyces pyralidae,NRRL Y-27085,Suhomyces pyralidae,Suhomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Suhomyces pyralidae,Suhomyces,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPLO00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854973
1041,Suhomyces_tanzawaensis,Suhomyces_tanzawaensis,288,0,0,2,99.31034483,Ser,Suhomyces tanzawaensis,NRRL Y-17324,Suhomyces tanzawaensis,Suhomyces,CUG-Ser1,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Suhomyces tanzawaensis,Suhomyces,no_rank,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,JGI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854974
1042,Tetrapisispora_blattae,Tetrapisispora_blattae,283,3,0,4,97.5862069,Leu,Tetrapisispora blattae,CBS 6284,Tetrapisispora blattae,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Tetrapisispora blattae,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Genolevures,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854975
1043,Tetrapisispora_fleetii,Tetrapisispora_fleetii,275,11,0,4,94.82758621,Leu,Tetrapisispora fleetii,NRRL Y-27350,Tetrapisispora fleetii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Tetrapisispora fleetii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPKB00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854976
1044,Tetrapisispora_iriomotensis,Tetrapisispora_iriomotensis,274,11,0,5,94.48275862,Leu,Tetrapisispora iriomotensis,NRRL Y-27309,Tetrapisispora iriomotensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Tetrapisispora iriomotensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPKC00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854977
1045,Tetrapisispora_namnaonensis,Tetrapisispora_namnaonensis,277,10,0,3,95.51724138,Leu,Tetrapisispora namnaonensis,NRRL Y-27982,Tetrapisispora namnaonensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Tetrapisispora namnaonensis,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,PPKD00000000,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854978
1046,Tetrapisispora_phaffii,Tetrapisispora_phaffii,276,10,0,4,95.17241379,Leu,Tetrapisispora phaffii,CBS 4417,Tetrapisispora phaffii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Tetrapisispora phaffii,Tetrapisispora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,NCBI,https://figshare.com/articles/Tempo_and_mode_of_genome_evolution_in_the_budding_yeast_subphylum/5854979
